"Jahr";"Aufführungen";"Besucher";"Platzausnutzung %"
"1981";70;9448;70,7
"1982";80;9722;63,6
"1983";72;9914;72,1
"1984";67;11123;86,9
"1985";72;12394;80,4
"1986";77;14415;87,5
"1987";82;15361;87,5
"1988";80;14509;84,7
"1989";78;14594;87,4
"1990";77;15217;92,3
"1991";76;15384;94,6
"1992";79;16248;96,1
"1993";83;17321;97,5
"1994";79;16052;93,2
"1995";76;16186;97,7
"1996";80;16181;92,8
"1997";80;16160;72,1
"1998";61;11569;87
"1999";66;10721;72,8
"2000";60;11316;86,5
"2001";71;13398;91,6
"2002";72;12020;81
"2003";79;12653;77,7
"2004";73;11670;77,6
"2005";79;13279;81,6
"2006";114;15099;64,3
"2007";106;12737;58,3
"2008";98;12689;66,1
"2009";103;12780;60,2
"2010";94;12050;63,5
"2011";96;12763;64,5
"2012";135;10527;37,9
"2013";109;11759;51,9
"2014";104;15337;70,9
"2015";94;11224;58
"2016";105;14488;69,3
"2017";102;12913;61,5
"2018";98;11900;61
"2019";91;10971;60,6
"2020";28;3420;61,4
