"Jahr";"Jahressumme";"Universitätsbibliothek, Medienbestand  insgesamt";"Universitätsbibliothek, Bücher, Zeitschriften/Zeitungen (nach Buchbindereinheiten) ";"Universitätsbibliothek, Zeitschriften und Zeitungen (aktuelle Abonnements)";"Universitätsbibliothek, Druckwerke";"Universitätsbibliothek, Sonst. nicht elektronische Materialien";"Universitätsbibliothek, Handschriften, Autographen";"Universitätsbibliothek, Digitale Bestände (o. elektr. Zeitschriften u. Zeitungen)";"Universitätsbibliothek, Elektr. Zeitschriften und Zeitungen (aktuelle Lizensen)";"Universitätsbibliothek, Entleihungen";"Universitätsbibliothek, Bibliotheksbesucher";"Universitätsbibliothek, Aktive Benutzer"
"2001";"Jahressumme";2267687;2266204;0;0;0;1483;0;0;1572200;0;36225
"2002";"Jahressumme";3421041;2758075;0;15238;642904;3471;1353;0;1713152;0;36570
"2003";"Jahressumme";3467851;2789011;3189;15497;654969;3474;1711;0;1882706;0;37435
"2004";"Jahressumme";3509423;2814305;3069;15756;670466;3547;2280;0;1940703;928311;38355
"2005";"Jahressumme";3547404;2842643;3249;16374;678518;3550;3070;0;1969970;1575000;37835
"2006";"Jahressumme";3603673;2872052;3171;16586;684166;3751;4030;19917;1991135;1650000;36958
"2007";"Jahressumme";3638420;2889663;4431;17834;676396;3758;18018;28320;2026613;1650000;36399
"2008";"Jahressumme";3687018;2930244;4288;19010;681050;3760;21404;27262;1982593;1650000;35481
"2009";"Jahressumme";3728169;2957178;4174;21262;682152;3764;30994;28645;1755932;1049773;35908
"2010";"Jahressumme";3763625;2976516;4028;23032;683870;3764;40184;32231;1684487;1221994;36185
"2011";"Jahressumme";3787413;2987885;3593;25465;685209;3831;45758;35672;1580296;1260050;37597
"2012";"Jahressumme";3848128;3011136;3224;27824;686238;3764;55363;60579;1466133;1185814;37621
"2013";"Jahressumme";3862973;3033338;2956;30814;686204;3831;62861;42969;1345129;1223438;37621
"2014";"Jahressumme";3933791;3058274;2406;33199;687038;3831;98576;50467;1195501;1132960;24902
"2015";"Jahressumme";4167377;3244856;2576;57522;687102;3839;119184;52298;1130345;1845240;23898
"2016";"Jahressumme";4203845;3267753;2549;57676;685453;3842;134411;52161;1084637;3031759;26113
"2017";"Jahressumme";4216075;3288778;2201;40941;684499;3843;146282;49531;998665;3037560;25004
"2018";"Jahressumme";4252692;3311068;1820;41146;684293;3845;164838;45682;933633;3021673;23869
"2019";"Jahressumme";4302494;3332471;1604;41211;684031;4044;178493;60640;850202;3229670;21990
