"Jahr";"Strandbad";"Lorettobad";"Freibad St. Georgen";"Hallenfreibad West";"Faulerbad";"Hallenbad Haslach";"Hallenbad Hochdorf";"Hallenbad Lehen";"Keidel Mineral-Thermalbad";"darunter Medizinische Bäder"
"2000";189613;59414;80150;253744;120969;145285;33166;42080;346083;97980
"2001";194519;98081;93571;249215;115396;139951;31764;46023;338857;103009
"2002";155759;84623;86140;275380;140664;155080;31864;44535;319062;100734
"2003";253459;149979;146562;238478;142467;129438;27393;43448;278854;85866
"2004";133553;75280;75949;234620;121664;139232;30568;39296;301906;76886
"2005";189992;109310;100115;216049;133613;134229;27146;38435;346846;74189
"2006";238495;121606;120800;211595;129273;143632;28700;38039;349150;64243
"2007";154585;81294;85767;193140;126981;148243;26636;36207;341424;68173
"2008";186567;90397;112292;278069;134129;0;28851;41121;364139;72671
"2009";233388;110027;137099;173473;151489;73768;30615;41720;412438;73750
"2010";204675;102775;97977;0;158226;240524;30489;39350;364068;73196
"2011";173548;89278;106742;159625;114495;182821;28856;25785;364066;73196
"2012";190105;102785;108389;192884;83896;188001;26912;22034;433036;118161
"2013";207949;108186;118480;196718;98330;181895;25509;25168;472407;131777
"2014";171084;81792;80190;192744;92832;170097;25117;26914;489392;120696
"2015";264086;126472;120194;191788;90466;175567;25078;26895;489896;127893
"2016";218518;97881;97577;200676;89259;180988;24959;23236;429414;104923
"2017";193462;95529;116450;180228;85940;174746;25669;20988;455577;110071
"2018";308775;98985;105447;181926;85150;161171;26985;22644;526271;173511
"2019";249351;101543;110120;193216;93350;157899;27685;21863;473369;106004
