"Jahr";"Vereine insgesamt";"Allgemeine Turn- und Sportvereine";"Fuﬂball";"Rugby";"Golf";"Tennis, Tischtennis, Badminton, Squash";"Boxen";"Ringen";"Judo, Karate u.‰.";"Schwimmen und Tauchen";"Segeln";"Angeln";"Faltboot und Kanu";"Motorboot, Wasserski u.‰.";"Ski";"Eishockey, Schlitt- und Rollschuhsport";"Radsport";"Reiten";"Schieﬂsport";"Flug-, Fallschirm- und Ballonsport";"Kegeln u.‰.";"Schach";"Tanzen";"Baseball";"Billard";"PÈtanque";"Volleyball"
"1970";63;13;10;0;1;2;1;3;3;1;1;1;2;2;2;2;3;1;5;3;1;5;1;0;0;0;0
"1983";104;22;19;2;1;10;1;3;6;2;2;1;1;1;3;2;6;3;5;5;3;4;2;0;0;0;0
"1984";108;22;19;1;1;9;1;3;6;2;2;1;1;2;3;2;6;3;6;8;3;4;3;0;0;0;0
"1985";113;22;19;1;1;14;1;3;6;2;2;1;1;2;3;3;6;3;6;8;3;4;2;0;0;0;0
"1986";114;22;20;1;1;13;1;3;6;2;2;1;1;2;3;3;6;3;6;8;3;4;3;0;0;0;0
"1987";114;22;21;1;1;13;1;3;6;2;2;1;1;2;3;3;6;3;6;8;2;4;3;0;0;0;0
"1988";115;22;21;1;1;13;1;3;6;2;2;1;1;2;3;3;6;3;6;8;3;4;3;0;0;0;0
"1989";115;22;21;1;1;13;1;3;6;2;2;1;1;2;3;3;6;3;6;8;3;4;3;0;0;0;0
"1990";115;22;21;1;1;13;1;3;6;2;2;1;1;2;3;3;6;3;6;8;3;4;3;0;0;0;0
"1991";120;23;21;1;1;13;1;3;7;2;3;1;2;2;3;4;6;3;6;8;3;4;3;0;0;0;0
"1992";124;26;21;1;2;14;1;3;6;2;3;1;2;2;3;4;6;3;6;8;3;4;3;0;0;0;0
"1993";125;26;21;1;2;15;1;3;6;2;3;1;2;2;3;4;7;3;6;8;2;4;3;0;0;0;0
"1994";125;27;21;1;2;15;1;3;6;2;3;1;1;2;3;4;7;3;6;8;2;4;3;0;0;0;0
"1995";127;27;20;1;2;17;1;3;7;2;3;1;1;2;3;4;7;3;5;8;2;4;4;0;0;0;0
"1996";125;26;21;1;2;15;1;3;7;2;3;1;1;2;3;4;7;3;5;8;2;4;4;0;0;0;0
"1997";128;27;21;1;2;16;1;3;7;2;3;1;1;2;3;4;7;3;5;8;2;4;5;0;0;0;0
"1998";128;28;20;1;2;16;1;3;7;2;3;1;1;2;3;4;7;3;5;8;2;4;5;0;0;0;0
"1999";134;30;19;1;2;16;1;3;10;4;3;1;1;2;2;4;7;4;5;7;2;4;6;0;0;0;0
"2000";134;32;19;1;2;16;1;3;11;3;2;1;1;2;2;4;6;4;5;7;2;4;6;0;0;0;0
"2001";135;32;19;1;2;16;1;3;10;3;2;1;1;2;2;3;5;6;5;8;2;4;7;0;0;0;0
"2002";143;36;18;1;2;18;1;3;10;4;3;1;1;2;2;4;6;6;5;7;2;4;7;0;0;0;0
"2003";127;33;19;1;1;13;1;3;12;4;3;1;1;1;1;4;6;5;4;5;1;2;6;0;0;0;0
"2004";139;34;18;1;1;15;1;3;14;4;3;1;1;2;2;4;7;6;5;6;2;3;6;0;0;0;0
"2005";143;35;20;1;2;16;1;3;13;4;3;1;1;2;2;4;7;6;5;6;2;3;6;0;0;0;0
"2006";138;37;17;1;2;15;1;2;10;4;3;1;1;2;2;5;6;6;5;4;2;3;7;1;1;0;0
"2007";148;37;18;1;2;18;1;2;15;4;3;1;1;2;3;5;6;7;5;6;1;2;7;1;0;0;0
"2008";146;39;18;1;2;14;1;2;14;4;2;1;1;2;3;5;6;7;5;5;1;2;6;1;1;1;2
"2009";141;37;16;1;2;14;1;2;14;4;2;1;1;2;3;5;6;7;5;4;1;2;7;1;0;1;2
"2010";157;39;18;1;2;15;2;2;15;4;2;1;2;2;4;5;6;8;7;7;1;2;7;1;1;1;2
"2011";167;42;19;1;2;16;2;2;19;4;2;1;2;2;4;5;7;7;7;7;1;3;7;1;1;1;2
"2012";168;42;20;1;2;16;2;2;19;4;2;1;2;2;4;5;7;7;7;7;1;3;7;1;1;1;2
"2013";170;43;20;1;2;16;2;2;19;4;2;1;2;2;4;5;7;8;7;7;1;3;7;1;1;1;2
"2014";168;43;19;1;2;16;2;2;19;4;2;1;2;2;4;4;6;8;7;7;1;3;7;1;1;2;2
"2015";171;45;19;1;2;16;3;2;19;4;2;1;2;2;4;4;6;8;7;7;1;3;7;1;1;2;2
"2016";159;46;16;1;2;16;3;2;17;4;2;1;2;2;3;4;5;7;7;4;1;2;7;1;0;2;2
"2017";177;49;19;1;2;17;3;2;19;4;2;1;2;2;5;4;6;8;7;7;1;3;8;1;0;2;2
"2018";180;51;19;1;2;17;3;2;19;4;2;1;2;2;5;4;6;8;7;7;1;3;8;1;0;2;3
"2019";176;52;19;1;2;16;3;2;19;4;2;0;2;2;5;4;6;7;7;7;1;3;7;1;0;2;2
"2020";176;52;19;1;2;15;3;2;20;4;2;0;2;2;5;5;5;6;7;7;1;3;7;1;0;2;3
