"Jahr";"Evangelische Jugendhilfe Freiburg - Zähringen, Plätze stationär";"Evangelische Jugendhilfe Freiburg - Zähringen, Plätze in Tagesgruppen";"Jugendhilfe der Waisenhausstiftung (Günterstal); Plätze stationär";"Jugendhilfe der Waisenhausstiftung (Günterstal); Plätze in Tagesgruppen";"Wohngruppenverbund Freiburg, Plätze stationär";"Wohngruppenverbund Freiburg, Plätze in Tagesgruppen";"Kinderhaus St. Raphael, Plätze stationär";"Kinderhaus St. Raphael, Plätze in Tagesgruppen";"St. Augustinusheim, Plätze stationär";"St. Augustinusheim, Plätze in Tagesgruppen";"Wiese Freiburg, Plätze stationär";"Wiese Freiburg, Plätze in Tagesgruppen";"St. Elisabeth, Plätze stationär";"St. Elisabeth, Plätze in Tagesgruppen";"PF Perspektive Freiburg, Plätze stationär";"Haus Tobias, Plätze stationär";"Krippen u. Krabbelstuben, Anzahl";"Krippen u. Krabbelstuben, Plätze";"Kindergärten, Anzahl";"Kindergärten, Plätze";"Schülerhorte, Anzahl";"Schülerhorte, Plätze";"Heilpädagogische Horte, Anzahl";"Heilpädagogische Horte, Plätze";"Jugendbegegnungsstätten u. Jugendtreffs, Anzahl";"Wohngruppenverbund Fischer, Plätze stationär";"Berthold-Kiefer-Haus, Plätze stationär (Eingliederungshilfe)";"KL Freiburg - Internationales Gästehaus, Plätze stationär (Jugendwohnheim)";"Internat Freiburger Fußballschule, Plätze stationär (Schülerwohnheim)";"Sportinternat Freiburg, Plätze stationär (Schülerwohnheim)";"Haus des Lebens, Plätze stationär (Mutter-Kind-Wohnen)";"Mutter-Kind-Haus Maria Magdalena, Plätze stationär (Mutter-Kind-Wohnen)";"Perspektive Südwest, Plätze stationär";"Campus Christophorus Jugendwerk Oberrimsingen, Plätze stationär";"Mariahof Hüfingen, Plätze in Tagesgruppen";"UWS Robert Bosch College, Plätze Internat"
"2005";27;48;30;16;20;20;16;16;43;51;12;28;0;0;0;0;14;307;115;7116;14;579;4;175;25;0;0;0;0;0;0;0;;;;
"2006";27;48;30;16;20;20;16;16;43;51;12;28;0;0;0;0;14;349;117;7182;16;639;4;175;25;0;0;0;0;0;0;0;;;;
"2007";27;48;30;16;20;0;16;0;43;8;20;24;0;0;0;0;69;1133;117;7182;16;639;4;175;25;0;0;0;0;0;0;0;;;;
"2008";17;56;30;16;20;0;16;0;43;8;20;24;4;0;0;0;69;1153;117;7046;16;639;4;173;25;0;0;0;0;0;0;0;;;;
"2009";17;56;26;16;20;0;12;0;24;0;12;24;4;0;6;45;34;1380;128;6341;21;1253;4;173;25;0;0;0;0;0;0;0;;;;
"2010";17;56;38;16;23;0;12;0;31;8;23;24;4;0;6;45;44;1578;123;6368;21;1283;4;173;25;0;0;0;0;0;0;0;;;;
"2011";17;56;36;16;20;0;14;0;46;0;26;24;4;0;6;45;49;1934;128;6613;21;1272;4;178;25;0;0;0;0;0;0;0;;;;
"2012";14;56;36;16;20;0;14;0;46;0;34;24;4;0;6;45;58;2353;130;6713;21;1266;4;173;25;0;0;0;0;0;0;0;;;;
"2013";16;56;30;16;20;0;18;0;38;0;28;30;0;0;6;45;60;2752;131;6975;21;1248;4;134;25;0;0;0;0;0;0;0;;;;
"2014";16;52;42;16;20;0;18;0;45;0;56;30;0;0;6;45;66;2937;140;7048;11;1027;4;142;25;0;0;0;0;0;0;0;;;;
"2015";16;56;48;16;20;0;18;0;45;0;53;30;0;0;6;36;69;2969;141;7205;11;1028;4;131;25;12;12;45;14;35;9;15;;;;
"2016";14;56;42;16;20;0;18;0;39;0;78;30;0;0;13;45;71;3051;144;7325;9;916;4;122;25;14;3;45;16;35;9;15;6;48;6;208
"2017";16;56;42;16;26;0;22;0;39;0;73;40;0;0;10;41;72;3168;153;7607;10;861;4;128;25;14;3;45;16;35;9;15;22;59;6;208
"2018";22;56;42;16;26;0;22;0;35;0;75;50;0;0;10;41;76;3276;164;7882;10;794;4;128;25;15;3;45;16;35;9;15;16;53;6;208
"2019";22;56;39;16;26;0;22;0;35;0;69;50;0;0;0;41;0;0;0;0;0;0;0;0;0;12;3;45;16;35;9;15;26;43;6;208
