"Jahr";"Aufführungen insgesamt";"Besucher insgesamt"
"1976";286;239671
"1977";295;241875
"1978";281;233401
"1979";284;244044
"1980";269;234643
"1981";289;236296
"1982";278;219547
"1983";266;206124
"1984";259;207726
"1985";257;206864
"1986";247;192283
"1987";255;216857
"1988";235;196079
"1989";237;200494
"1990";217;166670
"1991";209;140664
"1992";444;194937
"1993";471;201424
"1994";450;199442
"1995";451;206123
"1996";465;181055
"1997";419;153726
"1998";473;155184
"1999";426;151053
"2000";433;152462
"2001";438;171560
"2002";495;169474
"2003";647;192259
"2004";492;146797
"2005";451;175616
"2006";591;170766
"2007";721;227411
"2008";674;186510
"2009";641;183947
"2010";698;206653
"2011";729;214798
"2012";770;216549
"2013";760;201192
"2014";670;165426
"2015";651;206181
"2016";638;181486
"2017";612;175169
"2018";728;195553
"2019";689;175861
"2020";223;57506
