"Jahr";"Aufführungen im Theater";"Besucher im Theater";"Platzausnutzung im Theater in %";"Aufführungen im Freilichttheater";"Besucher im Freilichttheater";"Platzausnutzung im Freilichttheater in %"
"1976";238;15689;68.7;0;0;0
"1977";236;18134;80;0;0;0
"1978";233;18789;84;0;0;0
"1979";224;17199;80;0;0;0
"1980";217;14192;68.1;0;0;0
"1981";230;15814;71.6;0;0;0
"1982";231;17956;81;0;0;0
"1983";231;17619;79.5;0;0;0
"1984";229;18871;85.8;0;0;0
"1985";233;16627;74.3;0;0;0
"1986";229;14505;66;0;0;0
"1987";250;18389;76.6;0;0;0
"1988";225;18277;84.6;0;0;0
"1989";222;14183;66.5;0;0;0
"1990";211;15021;74.2;0;0;0
"1991";209;14039;70;0;0;0
"1992";223;18575;86.8;0;0;0
"1993";233;21638;96.7;0;0;0
"1994";240;17848;77.5;0;0;0
"1995";268;20292;78.9;0;0;0
"1996";292;22584;80.6;0;0;0
"1997";290;26588;95.5;0;0;0
"1998";320;32673;106.4;0;0;0
"1999";384;35283;95.7;0;0;0
"2000";314;29429;97.6;0;0;0
"2001";291;28076;100.5;0;0;0
"2002";296;22736;80;0;0;0
"2003";313;27927;92.9;0;0;0
"2004";265;17120;67.3;42;7275;69.3
"2005";285;21288;77.8;41;6730;65.7
"2006";253;16771;69.1;40;8338;83.4
"2007";215;21546;104.4;58;11031;76.1
"2008";196;17917;95.2;40;6794;67.9
"2009";197;17821;94.2;47;8994;76.5
"2010";218;20147;96.3;40;7814;78.1
"2011";204;16532;84.4;47;7652;65.1
"2012";199;17035;89.2;29;5636;77.7
"2013";191;14884;81.2;39;5753;59
"2014";176;16162;95.7;29;3753;51.8
"2015";193;17655;95.3;36;6383;70.9
"2016";181;14837;85.4;39;7331;75.2
"2017";197;15354;81.2;35;6361;72.7
"2018";183;16589;94.4;27;4625;68.5
"2019";230;21098;95.6;28;4459;63.7
"2020";61;5607;95.7;24;2568;42.8
