"Jahr";"Straßenlänge im Stadtgebiet insg.; km";"Straßenlänge im Stadtgebiet; Bundesstraßen; km";"Straßenlänge im Stadtgebiet; Landesstraßen; km";"Straßenlänge im Stadtgebiet; Kreisstraßen; km";"Straßenlänge im Stadtgebiet; Stadtstraßen; km";"Fußgängerzone; Straßenlänge insg.; km";"Fußgängerzone; dar. für Lieferverkehr gestattet; km";"Radwege insgesamt";"Radwege; entlang einer Fahrbahn führend; einseitig; km";"Radwege; entlang einer Fahrbahn führend;beidseitig; km";"Radwege; von der Fahrbahn getrennt; km";"Radwege mit Asphalt";"Radwege mit Forstmischung";"Radwege mit Sand";"Radwege mit Pflaster"
"1985";430;17;12;39;361;6;4;116;64;52;0;0;0;0;0
"1986";432;20;12;39;361;8;5;125;72;53;0;0;0;0;0
"1987";437;20;12;39;366;8;5;126;72;54;0;0;0;0;0
"1988";439;20;11;39;368;8;5;127;73;54;0;0;0;0;0
"1989";442;20;12;39;370;8;5;130;76;54;0;0;0;0;0
"1990";443;22;12;39;370;8;5;131;77;54;0;0;0;0;0
"1991";449;22;12;42;374;8;5;135;77;57;0;0;0;0;0
"1992";455;22;12;45;377;9;7;137;56;56;25;0;0;0;0
"1993";458;22;12;45;379;9;7;137;56;56;25;0;0;0;0
"1994";459;22;12;45;381;9;7;141;57;59;25;0;0;0;0
"1995";463;23;12;45;383;9;7;142;58;59;25;0;0;0;0
"1996";464;23;12;45;384;9;7;146;58;62;26;0;0;0;0
"1997";465;23;12;45;385;9;7;146;58;62;26;0;0;0;0
"1998";467;23;12;46;386;9;7;155;66;62;27;0;0;0;0
"1999";471;23;12;46;391;9;7;159;67;66;27;0;0;0;0
"2000";472;23;12;46;391;9;7;159;67;66;27;0;0;0;0
"2001";473;23;12;46;393;9;7;161;67;66;28;0;0;0;0
"2002";485;29;12;45;399;9;7;162;68;66;28;0;0;0;0
"2003";486;26;12;46;403;9;7;163;69;66;28;0;0;0;0
"2004";494;24;12;52;407;9;7;163;69;66;28;0;0;0;0
"2005";496;24;12;52;409;9;7;165;71;66;28;29;2;2;2
"2006";497;24;12;52;410;9;7;165;71;66;28;29;2;2;2
"2007";498;24;12;52;411;9;7;166;71;66;29;29;2;2;2
"2008";498;24;12;52;411;9;7;166;71;66;29;21;2;2;2
"2009";499;24;12;52;412;9;7;166;71;66;29;21;2;2;2
"2010";499;24;12;52;412;9;7;169;71;69;29;21;2;2;2
"2011";500;24;12;52;412;9;7;170;72;69;29;25;2;2;2
"2012";500;24;12;52;413;9;7;170;72;69;29;25;2;2;2
"2013";501;24;12;52;414;9;7;170;72;69;29;25;2;2;2
"2014";502;24;12;52;415;9;7;170;72;69;29;25;2;2;2
"2015";502;24;12;52;415;9;7;171;72;70;29;25;2;2;2
"2016";502;24;12;52;415;9;7;171;72;70;29;25;2;2;2
"2017";502;24;12;52;415;9;7;171;72;70;29;25;2;2;2
"2018";504;24;12;52;416;9;7;0;0;0;0;0;0;0;0
"2019";504;24;12;52;416;9;7;0;0;0;0;0;0;0;0
"2020";502;24;12;52;415;9;7;0;0;0;0;0;0;0;0
